column_name,mean,std,min,max,missing_count
Air Temperature,12.650277684143864,10.42990403274455,-29.78,37.6,75
Wet Bulb Temperature,10.294143791720073,9.39947511405601,-28.9,28.4,75727
Humidity,68.02200915899589,15.639134697812601,0.0,100.0,0
Rain Intensity,0.1590831155427563,1.795622767392058,0.0,183.6,75727
Interval Rain,0.14253970685086764,1.0980279929752443,-0.9,63.42,0
Total Rain,141.65650791536964,190.5906410383916,0.0,1056.1,75727
Precipitation Type,4.255946931233666,15.568816084016108,0.0,70.0,75727
Wind Direction,140.84860598448995,121.95221744328046,0.0,359.0,0
Wind Speed,2.919469758465945,5.347649403251599,0.0,999.9,0
Maximum Wind Speed,3.5602278006667585,5.960030168507382,0.0,999.9,0
Barometric Pressure,994.309448875219,10.033765365372355,0.0,3098.5,146
Solar Radiation,112.50619023550975,843.7385130634036,-100000.0,1277.0,0
Heading,281.8288831921163,142.86597208405144,0.0,359.0,75727
Battery Life,13.162497128241258,1.5445027169307834,0.0,15.3,0
