,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,hour,day_of_week,month,year,is_weekend
Air Temperature,1.0,0.9780590826346164,0.008345493478400783,,,0.44375374953953667,,-0.10508615802721094,-0.2294331392119126,-0.13220350292879274,-0.2436944801795544,0.2334840274072616,0.023979392668344073,-0.07372245714113998,0.06300764009313894,-0.021783658811472602,0.2761980420893808,-0.00509339406507046,-0.01344746825432184
Wet Bulb Temperature,0.9780590826346164,1.0,0.1819963087443898,,,0.4610485917878123,,-0.1475840489625202,-0.21738660638745944,-0.1549027707932948,-0.2683136818894455,0.1908667080726047,0.029403697117677735,-0.02765916270998272,0.03729432520267322,-0.02127622196366473,0.2705238775081837,-0.017828260056647872,-0.014987440751380797
Humidity,0.008345493478400783,0.1819963087443898,1.0,,,0.10317211298272394,,-0.13833309608899377,0.01719640715831709,0.06764876826002539,-0.18859359966327918,-0.15547942669786333,0.005169770217155796,-0.14617044967110962,-0.11738729023451984,-0.004066393574912888,-0.021718089158320016,-0.10101024819053851,-0.014266926602020101
Rain Intensity,,,,,,,,,,,,,,,,,,,
Interval Rain,,,,,,,,,,,,,,,,,,,
Total Rain,0.44375374953953667,0.4610485917878123,0.10317211298272394,,,1.0,,0.04050491534801404,-0.10827826718483193,0.0021083888116499414,0.005192280261388948,0.057392989037310875,-0.015064146491072813,-0.06287075256562757,-7.602653713348787e-05,-0.0027610583907750636,0.25628314591640383,-0.22254573542188907,-0.0021502575957991037
Precipitation Type,,,,,,,,,,,,,,,,,,,
Wind Direction,-0.10508615802721094,-0.1475840489625202,-0.13833309608899377,,,0.04050491534801404,,1.0,-0.09885395802099847,0.3617377727104046,-0.0390006215174993,-0.15099497270031376,-0.18677888453513516,-0.29670448489840673,-0.0720949829138951,-0.011126419322284385,0.02519163348371352,-0.3370478674047468,-0.008543353731328977
Wind Speed,-0.2294331392119126,-0.21738660638745944,0.01719640715831709,,,-0.10827826718483193,,-0.09885395802099847,1.0,0.6510626535548086,-0.08122843815080366,0.03665066147921178,0.0787078253711199,0.1586703315566602,0.031013603153729197,0.010151723911321282,-0.08244592119687841,-0.042029711469540425,-0.005866790361451707
Maximum Wind Speed,-0.13220350292879274,-0.1549027707932948,0.06764876826002539,,,0.0021083888116499414,,0.3617377727104046,0.6510626535548086,1.0,-0.06098658044004544,0.004575899750956593,-0.1169733772364828,-0.45663542169097293,0.022312288306781194,0.002779858810481938,-0.04591635232877505,-0.3357626604626469,-0.0077736046941783874
Barometric Pressure,-0.2436944801795544,-0.2683136818894455,-0.18859359966327918,,,0.005192280261388948,,-0.0390006215174993,-0.08122843815080366,-0.06098658044004544,1.0,0.06428090236418736,0.006034608375927585,-0.07226456297172791,-0.012379083539617189,0.043741863198912496,0.05038851309352771,0.022112865327831455,0.04236602620626259
Solar Radiation,0.2334840274072616,0.1908667080726047,-0.15547942669786333,,,0.057392989037310875,,-0.15099497270031376,0.03665066147921178,0.004575899750956593,0.06428090236418736,1.0,0.06221524062289615,-0.10419615764123108,0.08366463755618277,0.0019798029727798663,-0.025444267282562393,0.07790361733972911,0.006723895319420477
Heading,0.023979392668344073,0.029403697117677735,0.005169770217155796,,,-0.015064146491072813,,-0.18677888453513516,0.0787078253711199,-0.1169733772364828,0.006034608375927585,0.06221524062289615,1.0,0.050801388193188066,-0.004727991561412783,0.0032628610288544407,0.0408131872143172,0.5671621683931075,0.0030715911936320633
Battery Life,-0.07372245714113998,-0.02765916270998272,-0.14617044967110962,,,-0.06287075256562757,,-0.29670448489840673,0.1586703315566602,-0.45663542169097293,-0.07226456297172791,-0.10419615764123108,0.050801388193188066,1.0,0.0018364408178834066,0.000727547131776727,-0.006337538463192262,0.09692633048239083,0.00035819909427870416
hour,0.06300764009313894,0.03729432520267322,-0.11738729023451984,,,-7.602653713348787e-05,,-0.0720949829138951,0.031013603153729197,0.022312288306781194,-0.012379083539617189,0.08366463755618277,-0.004727991561412783,0.0018364408178834066,1.0,0.006206388495513776,-0.0010366543951710902,-0.0047093639510158445,0.0056485357362331574
day_of_week,-0.021783658811472602,-0.02127622196366473,-0.004066393574912888,,,-0.0027610583907750636,,-0.011126419322284385,0.010151723911321282,0.002779858810481938,0.043741863198912496,0.0019798029727798663,0.0032628610288544407,0.000727547131776727,0.006206388495513776,1.0,0.001832386662229555,0.003620597963617454,0.787421558156787
month,0.2761980420893808,0.2705238775081837,-0.021718089158320016,,,0.25628314591640383,,0.02519163348371352,-0.08244592119687841,-0.04591635232877505,0.05038851309352771,-0.025444267282562393,0.0408131872143172,-0.006337538463192262,-0.0010366543951710902,0.001832386662229555,1.0,-0.08861848934831212,0.0007682031453696585
year,-0.00509339406507046,-0.017828260056647872,-0.10101024819053851,,,-0.22254573542188907,,-0.3370478674047468,-0.042029711469540425,-0.3357626604626469,0.022112865327831455,0.07790361733972911,0.5671621683931075,0.09692633048239083,-0.0047093639510158445,0.003620597963617454,-0.08861848934831212,1.0,0.004026665576152525
is_weekend,-0.01344746825432184,-0.014987440751380797,-0.014266926602020101,,,-0.0021502575957991037,,-0.008543353731328977,-0.005866790361451707,-0.0077736046941783874,0.04236602620626259,0.006723895319420477,0.0030715911936320633,0.00035819909427870416,0.0056485357362331574,0.787421558156787,0.0007682031453696585,0.004026665576152525,1.0
